element,detected_in_shortlist,workflow_decision,risk_flag,source_basis,screening_note
B,True,soft-flagged; allowed only with caution,soft_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Reviewer may question this element; explain supply-risk limitations.
Bi,True,hard-excluded or not conservative in this workflow,hard_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.","Verify against USGS 2024, EU CRMA 2023, and BGS Risk List before submission."
C,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
Ca,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
Ce,True,hard-excluded or not conservative in this workflow,hard_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.","Verify against USGS 2024, EU CRMA 2023, and BGS Risk List before submission."
Cr,True,hard-excluded or not conservative in this workflow,hard_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.","Verify against USGS 2024, EU CRMA 2023, and BGS Risk List before submission."
Cu,True,soft-flagged; allowed only with caution,soft_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Reviewer may question this element; explain supply-risk limitations.
F,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
Fe,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
Ge,True,hard-excluded or not conservative in this workflow,hard_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.","Verify against USGS 2024, EU CRMA 2023, and BGS Risk List before submission."
H,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
Mg,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
Mn,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
Mo,True,hard-excluded or not conservative in this workflow,hard_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.","Verify against USGS 2024, EU CRMA 2023, and BGS Risk List before submission."
Na,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
Nd,True,hard-excluded or not conservative in this workflow,hard_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.","Verify against USGS 2024, EU CRMA 2023, and BGS Risk List before submission."
O,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
P,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
S,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
Sb,True,hard-excluded or not conservative in this workflow,hard_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.","Verify against USGS 2024, EU CRMA 2023, and BGS Risk List before submission."
Si,True,allowed in conservative screening proxy,allowed,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Still not equivalent to full sustainability or life-cycle assessment.
Sn,True,soft-flagged; allowed only with caution,soft_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Reviewer may question this element; explain supply-risk limitations.
Ti,True,soft-flagged; allowed only with caution,soft_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.",Reviewer may question this element; explain supply-risk limitations.
V,True,hard-excluded or not conservative in this workflow,hard_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.","Verify against USGS 2024, EU CRMA 2023, and BGS Risk List before submission."
W,True,hard-excluded or not conservative in this workflow,hard_flag,"Author-curated cross-jurisdictional criticality proxy using official U.S., EU, UK/BGS, and IEA sources cited in the manuscript.","Verify against USGS 2024, EU CRMA 2023, and BGS Risk List before submission."
